/* L = 32, Z = 27000 */
/* p;ocurrencias de percolacion;Masa promedio */
0.526600;1280;318504
0.526700;1286;320041
0.526800;1294;322389
0.526900;1362;339863
0.527000;1368;341753
0.527100;1284;320996
0.527200;1325;328044
0.527300;1329;333563
0.527400;1339;336034
0.527500;1400;349823
0.527600;1383;343333
0.527700;1390;345873
0.527800;1366;341787
0.527900;1401;352457
0.528000;1407;353942
0.528100;1353;336556
0.528200;1381;350031
0.528300;1425;356662
0.528400;1432;358463
0.528500;1444;364981
0.528600;1370;341644
0.528700;1379;343838
0.528800;1411;356221
0.528900;1470;370442
0.529000;1474;372220
0.529100;1430;363027
0.529200;1466;370567
0.529300;1459;368508
0.529400;1464;370329
0.529500;1532;388152
0.529600;1462;369149
0.529700;1466;370713
0.529800;1546;397734
0.529900;1524;386047
0.530000;1535;389133
0.530100;1536;393816
0.530200;1530;392035
0.530300;1530;392370
0.530400;1601;412853
0.530500;1624;412413
0.530600;1553;393816
0.530700;1562;396267
0.530800;1647;426231
0.530900;1588;402646
0.531000;1593;404464
0.531100;1642;422044
0.531200;1606;415807
0.531300;1615;418798
0.531400;1631;415101
0.531500;1704;439280
0.531600;1649;427029
0.531700;1663;430992
0.531800;1644;419831
0.531900;1715;441515
0.532000;1723;443653
0.532100;1752;457440
0.532200;1684;434954
0.532300;1694;437805
0.532400;1770;456394
0.532500;1690;436937
0.532600;1695;438345
0.532700;1702;440453
0.532800;1717;445196
0.532900;1792;464526
0.533000;1800;467464
0.533100;1771;460529
0.533200;1716;452474
0.533300;1726;455561
0.533400;1852;478079
0.533500;1775;469556
0.533600;1849;481307
0.533700;1859;483912
0.533800;1751;454484
0.533900;1864;491215
0.534000;1873;494251
0.534100;1893;496585
0.534200;1846;486369
0.534300;1859;490292
0.534400;1875;493264
0.534500;1946;511872
0.534600;1901;497051
0.534700;1909;499779
0.534800;1911;504283
0.534900;1885;498237
0.535000;1891;500289
0.535100;2057;549123
0.535200;2000;526876
0.535300;1889;498722
0.535400;1900;501625
0.535500;1899;501881
0.535600;1935;508826
0.535700;1940;510482
0.535800;2076;552089
0.535900;2066;545945
0.536000;2075;548714
0.536100;1999;530764
0.536200;2061;551818
0.536300;2067;548680
0.536400;2071;549867
0.536500;2086;552965
0.536600;2019;536884
0.536700;2028;539548
0.536800;2120;569621
0.536900;2037;545156
0.537000;2212;588625
0.537100;2220;590948
0.537200;2197;590526
0.537300;2090;558393
0.537400;2102;561813
0.537500;2157;577714
0.537600;2207;592229
0.537700;2215;593282
0.537800;2223;596544
0.537900;2199;589107
0.538000;2122;564420
0.538100;2128;566735
0.538200;2229;597445
0.538300;2213;596280
0.538400;2231;601487
0.538500;2369;641625
0.538600;2316;629913
0.538700;2375;646144
0.538800;2389;650231
0.538900;2313;622935
0.539000;2335;637015
0.539100;2337;638079
0.539200;2311;628227
0.539300;2384;645326
0.539400;2395;648683
0.539500;2456;671455
0.539600;2378;652092
0.539700;2408;651398
0.539800;2414;653291
0.539900;2376;648530
0.540000;2467;671592
0.540100;2484;677226
0.540200;2466;672024
0.540300;2489;681799
0.540400;2501;685574
0.540500;2419;664563
0.540600;2517;690313
0.540700;2527;694559
0.540800;2540;698551
0.540900;2483;681225
0.541000;2545;697196
0.541100;2560;701205
0.541200;2517;692137
0.541300;2616;719588
0.541400;2652;738117
0.541500;2661;741018
