/* L = 4, Z = 27000 */
/* p;ocurrencias de percolacion;Masa promedio */
0.010000;0;0
0.020000;1;4
0.030000;1;4
0.040000;1;4
0.050000;2;8
0.060000;4;18
0.070000;6;27
0.080000;9;43
0.090000;12;56
0.100000;14;66
0.110000;19;89
0.120000;28;145
0.130000;37;194
0.140000;48;252
0.150000;70;368
0.160000;96;507
0.170000;119;631
0.180000;164;890
0.190000;202;1116
0.200000;247;1378
0.210000;312;1786
0.220000;370;2141
0.230000;438;2572
0.240000;526;3137
0.250000;622;3749
0.260000;751;4618
0.270000;867;5401
0.280000;1016;6408
0.290000;1178;7515
0.300000;1367;8835
0.310000;1584;10388
0.320000;1813;12094
0.330000;2058;13909
0.340000;2303;15758
0.350000;2585;17942
0.360000;2887;20327
0.370000;3170;22714
0.380000;3486;25334
0.390000;3841;28280
0.400000;4261;31796
0.410000;4705;35599
0.420000;5145;39481
0.430000;5574;43237
0.440000;6071;47742
0.450000;6540;52112
0.460000;7041;56975
0.470000;7601;62226
0.480000;8166;67803
0.490000;8775;73738
0.500000;9319;79476
0.500100;9328;79547
0.500200;9338;79637
0.500300;9346;79709
0.500400;9351;79764
0.500500;9360;79851
0.500600;9363;79882
0.500700;9107;76784
0.500800;9116;76857
0.500900;9122;76908
0.501000;9131;77005
0.501100;9133;77033
0.501200;9140;77094
0.501300;9149;77179
0.501400;9156;77250
0.501500;9160;77293
0.501600;9167;77364
0.501700;9168;77385
0.501800;9172;77442
0.501900;9181;77516
0.502000;9186;77571
0.502100;9188;77591
0.502200;9191;77623
0.502300;9196;77670
0.502400;9200;77727
0.502500;9207;77794
0.502600;9211;77835
0.502700;9216;77890
0.502800;9221;77942
0.502900;9223;77969
0.503000;9229;78028
0.503100;9238;78128
0.503200;9243;78189
0.503300;9246;78229
0.503400;9251;78273
0.503500;9254;78308
0.503600;9259;78355
0.503700;9265;78419
0.503800;9267;78448
0.503900;9270;78481
0.504000;9276;78543
0.504100;9283;78610
0.504200;9292;78693
0.504300;9298;78745
0.504400;9304;78801
0.504500;9312;78872
0.504600;9319;78955
0.504700;9326;79025
0.504800;9337;79138
0.504900;9345;79732
0.505000;9349;79766
0.505100;9352;79807
0.505200;9359;79887
0.505300;9363;79926
0.505400;9369;79988
0.505500;9377;80063
0.505600;9380;80099
0.505700;9390;80179
0.505800;9396;80249
0.505900;9400;80286
0.506000;9410;80380
0.506100;9420;80468
0.506200;9428;80557
0.506300;9432;80613
0.506400;9443;80721
0.506500;9449;80782
0.506600;9453;80829
0.506700;9461;80900
0.506800;9464;80938
0.506900;9467;80974
0.507000;9471;81026
0.507100;9479;81108
0.507200;9481;81133
0.507300;9488;81205
0.507400;9494;81272
0.507500;9498;81312
0.507600;9504;81376
0.507700;9509;81423
0.507800;9515;81490
0.507900;9522;81566
0.508000;9528;81622
0.508100;9533;81679
0.508200;9542;81768
0.508300;9547;81813
0.508400;9552;81869
0.508500;9557;81918
0.508600;9565;81996
0.508700;9570;82045
0.508800;9576;82104
0.508900;9583;82169
0.509000;9590;82232
0.509100;9594;82285
0.509200;9740;83697
0.509300;9749;83777
0.509400;9755;83848
0.509500;9761;83907
0.509600;9766;83957
0.509700;9771;84005
0.509800;9776;84060
0.509900;9781;84121
0.510000;9786;84177
0.510100;9795;84264
0.510200;9798;84310
0.510300;9810;84424
0.510400;9812;84450
0.510500;9816;84490
0.510600;9823;84555
0.510700;9831;84657
0.510800;9840;84745
0.510900;9850;84831
0.511000;9854;84874
0.511100;9862;84942
0.511200;9868;85017
0.511300;9876;85111
0.511400;9885;85200
0.511500;9893;85288
0.511600;9897;85326
0.511700;9903;85386
0.511800;9908;85440
0.511900;9912;85490
0.512000;9915;85532
0.512100;9920;85578
0.512200;9924;85624
0.512300;9928;85673
0.512400;9935;85742
0.512500;9948;85869
0.512600;9951;85907
0.512700;9958;85981
0.512800;9964;86045
0.512900;9970;86095
0.513000;9978;86181
0.513100;9983;86224
0.513200;9989;86283
0.513300;9994;86338
0.513400;9914;85275
0.513500;9920;85331
0.513600;9931;85421
0.513700;9939;85505
0.513800;9948;85596
0.513900;9953;85661
0.514000;9959;85739
0.514100;9963;85782
0.514200;9970;85850
0.514300;9977;85919
0.514400;9988;86024
0.514500;9990;86060
0.514600;9996;86118
0.514700;10004;86196
0.514800;10007;86231
0.514900;10012;86283
0.515000;10017;86336
0.515100;10022;86389
0.515200;10028;86447
0.515300;10031;86489
0.515400;10034;86542
0.515500;10046;86643
0.515600;10051;86687
