/* L = 16, Z = 27000 */
/* p;ocurrencias de percolacion;Masa promedio */
0.010000;0;0
0.020000;0;0
0.030000;0;0
0.040000;0;0
0.050000;0;0
0.060000;0;0
0.070000;0;0
0.080000;0;0
0.090000;0;0
0.100000;0;0
0.110000;0;0
0.120000;0;0
0.130000;0;0
0.140000;0;0
0.150000;0;0
0.160000;0;0
0.170000;0;0
0.180000;0;0
0.190000;0;0
0.200000;0;0
0.210000;0;0
0.220000;0;0
0.230000;0;0
0.240000;0;0
0.250000;0;0
0.260000;0;0
0.270000;0;0
0.280000;0;0
0.290000;0;0
0.300000;0;0
0.310000;1;31
0.320000;1;32
0.330000;4;153
0.340000;3;117
0.350000;4;159
0.360000;9;385
0.370000;14;648
0.380000;20;966
0.390000;31;1592
0.400000;70;3457
0.410000;111;5816
0.420000;160;8503
0.430000;232;12981
0.440000;332;19484
0.450000;472;29090
0.460000;584;38091
0.470000;824;55649
0.480000;1148;80146
0.490000;1594;116290
0.500000;2185;165844
0.500100;2219;165912
0.500200;2224;166322
0.500300;2228;166699
0.500400;2237;167455
0.500500;2240;167747
0.500600;2249;168519
0.500700;2192;165817
0.500800;2200;166502
0.500900;2207;166944
0.501000;2213;167468
0.501100;2221;168152
0.501200;2356;178323
0.501300;2366;179096
0.501400;2370;179558
0.501500;2379;180393
0.501600;2384;180907
0.501700;2240;169114
0.501800;2249;169864
0.501900;2251;170105
0.502000;2259;170784
0.502100;2266;171400
0.502200;2267;171618
0.502300;2388;180345
0.502400;2396;181007
0.502500;2404;181566
0.502600;2410;182060
0.502700;2417;182737
0.502800;2394;183385
0.502900;2400;184069
0.503000;2407;184697
0.503100;2414;185458
0.503200;2423;186277
0.503300;2451;186606
0.503400;2462;187432
0.503500;2467;187886
0.503600;2472;188358
0.503700;2482;189181
0.503800;2487;189629
0.503900;2436;186517
0.504000;2447;187509
0.504100;2450;187793
0.504200;2455;188210
0.504300;2465;188971
0.504400;2599;198210
0.504500;2610;199201
0.504600;2616;199835
0.504700;2621;200310
0.504800;2626;200711
0.504900;2508;192215
0.505000;2514;192681
0.505100;2521;193288
0.505200;2530;194030
0.505300;2536;194559
0.505400;2542;195105
0.505500;2550;197489
0.505600;2559;198467
0.505700;2561;198693
0.505800;2568;199380
0.505900;2575;199940
0.506000;2628;200751
0.506100;2633;201258
0.506200;2636;201534
0.506300;2643;202279
0.506400;2647;202704
0.506500;2713;210036
0.506600;2722;210817
0.506700;2728;211435
0.506800;2735;211961
0.506900;2748;213052
0.507000;2750;213330
0.507100;2699;208716
0.507200;2701;208990
0.507300;2705;209386
0.507400;2713;210090
0.507500;2718;210622
0.507600;2725;211885
0.507700;2733;212609
0.507800;2743;213413
0.507900;2749;213992
0.508000;2756;214721
0.508100;2761;215280
0.508200;2809;219970
0.508300;2813;220391
0.508400;2819;220967
0.508500;2826;221709
0.508600;2831;222246
0.508700;2852;222177
0.508800;2859;222763
0.508900;2873;223946
0.509000;2881;224636
0.509100;2887;225148
0.509200;2775;217583
0.509300;2784;218467
0.509400;2791;219100
0.509500;2795;219543
0.509600;2801;220096
0.509700;2807;220563
0.509800;2836;220734
0.509900;2843;221458
0.510000;2855;222478
0.510100;2864;223331
0.510200;2870;223870
0.510300;2953;231629
0.510400;2961;232472
0.510500;2967;232974
0.510600;2977;233921
0.510700;2980;234278
0.510800;2975;234579
0.510900;2981;235102
0.511000;2991;236031
0.511100;2997;236540
0.511200;3000;236945
0.511300;3013;238163
0.511400;3019;237559
0.511500;3029;238513
0.511600;3044;239734
0.511700;3053;240465
0.511800;3058;240871
0.511900;3083;244336
0.512000;3088;244904
0.512100;3095;245561
0.512200;3101;246207
0.512300;3111;247219
0.512400;3037;238968
0.512500;3044;239661
0.512600;3048;240060
0.512700;3054;240709
0.512800;3066;241666
0.512900;3075;242567
0.513000;3220;255860
0.513100;3227;256385
0.513200;3236;257204
0.513300;3240;257743
0.513400;3247;258451
0.513500;3180;253171
0.513600;3187;253735
0.513700;3195;254428
0.513800;3202;255102
