/* L = 64, Z = 27000 */
/* p;ocurrencias de percolacion;Masa promedio */
0.527200;101;63468
0.527300;100;65562
0.527400;105;67197
0.527500;96;63269
0.527600;107;68855
0.527700;106;68306
0.527800;102;64703
0.527900;130;85313
0.528000;102;68888
0.528100;98;62895
0.528200;105;68178
0.528300;129;84428
0.528400;121;79879
0.528500;114;76379
0.528600;121;75833
0.528700;119;84263
0.528800;135;88627
0.528900;121;80055
0.529000;154;102581
0.529100;135;89177
0.529200;111;73140
0.529300;102;70156
0.529400;123;81890
0.529500;146;96909
0.529600;125;83331
0.529700;122;82536
0.529800;127;89602
0.529900;114;73264
0.530000;123;83437
0.530100;126;83644
0.530200;133;91067
0.530300;139;95645
0.530400;148;97623
0.530500;116;79634
0.530600;130;83391
0.530700;122;82128
0.530800;141;98129
0.530900;157;103375
0.531000;157;106063
0.531100;127;85376
0.531200;162;112120
0.531300;149;105003
0.531400;132;89616
0.531500;162;112366
0.531600;166;112215
0.531700;140;97631
0.531800;156;105239
0.531900;148;104043
0.532000;183;123887
0.532100;173;120336
0.532200;177;125493
0.532300;183;124336
0.532400;191;127664
0.532500;175;121182
0.532600;177;123484
0.532700;180;126893
0.532800;199;138997
0.532900;206;144861
0.533000;195;133598
0.533100;187;126186
0.533200;177;127755
0.533300;212;148668
0.533400;183;129265
0.533500;199;140757
0.533600;192;136006
0.533700;182;129009
0.533800;190;135430
0.533900;217;151463
0.534000;210;149980
0.534100;237;168328
0.534200;202;137552
0.534300;223;155987
0.534400;214;151761
0.534500;233;165465
0.534600;225;158624
0.534700;256;184333
0.534800;226;161880
0.534900;240;165977
0.535000;231;163506
0.535100;231;164816
0.535200;237;170334
0.535300;234;167033
0.535400;222;153856
0.535500;246;175238
0.535600;244;179246
0.535700;271;192437
0.535800;225;161042
0.535900;254;181672
0.536000;261;188966
0.536100;259;192089
0.536200;261;188815
0.536300;264;195922
0.536400;267;188905
0.536500;273;202612
0.536600;276;200630
0.536700;286;204981
0.536800;258;184858
0.536900;266;192894
0.537000;243;177210
0.537100;254;182805
0.537200;317;231199
0.537300;275;202090
0.537400;296;215817
0.537500;292;215071
0.537600;323;239035
0.537700;311;228706
0.537800;300;218412
0.537900;325;239553
0.538000;303;226163
0.538100;302;219712
0.538200;313;231856
0.538300;302;222935
0.538400;325;236518
0.538500;330;244684
0.538600;313;235734
0.538700;325;238572
0.538800;303;234174
0.538900;321;241827
0.539000;352;260408
0.539100;347;264412
0.539200;340;248579
0.539300;351;264239
0.539400;341;251236
0.539500;357;265599
0.539600;385;287220
0.539700;379;287762
0.539800;370;271014
0.539900;385;285883
0.540000;353;265803
0.540100;389;292353
0.540200;389;291909
0.540300;386;294990
0.540400;333;256574
0.540500;392;295101
0.540600;401;301783
0.540700;419;324476
0.540800;439;334671
0.540900;403;303431
0.541000;460;353985
0.541100;449;337809
0.541200;413;322527
0.541300;440;335395
0.541400;440;338647
0.541500;454;350734
0.541600;465;354477
0.541700;450;345847
0.541800;440;340593
0.541900;456;346949
0.542000;458;350615
0.542100;493;381339
0.542200;467;360456
0.542300;503;391166
0.542400;460;348579
0.542500;509;386776
0.542600;506;391846
0.542700;494;387026
0.542800;469;363909
0.542900;514;403114
0.543000;538;422891
0.543100;535;415327
0.543200;543;422757
0.543300;557;425546
0.543400;550;429814
0.543500;506;398883
0.543600;527;420769
0.543700;556;438347
0.543800;552;436297
0.543900;578;454949
0.544000;543;428003
0.544100;555;442511
0.544200;604;482121
0.544300;573;453733
0.544400;637;510254
0.544500;586;459449
0.544600;626;498454
0.544700;626;487168
0.544800;572;445418
0.544900;619;498610
0.545000;606;484079
0.545100;599;479134
0.545200;652;528301
