/* L = 8, Z = 27000 */
/* p;ocurrencias de percolacion;Masa promedio */
0.010000;0;0
0.020000;0;0
0.030000;0;0
0.040000;0;0
0.050000;0;0
0.060000;0;0
0.070000;0;0
0.080000;0;0
0.090000;0;0
0.100000;0;0
0.110000;0;0
0.120000;0;0
0.130000;0;0
0.140000;1;10
0.150000;1;10
0.160000;1;10
0.170000;1;10
0.180000;2;22
0.190000;2;22
0.200000;3;43
0.210000;3;45
0.220000;6;81
0.230000;8;114
0.240000;9;129
0.250000;17;257
0.260000;27;415
0.270000;48;704
0.280000;65;989
0.290000;85;1328
0.300000;120;1919
0.310000;160;2624
0.320000;199;3345
0.330000;254;4368
0.340000;317;5545
0.350000;399;7189
0.360000;485;8916
0.370000;602;11464
0.380000;765;14946
0.390000;941;18714
0.400000;1158;23568
0.410000;1383;28769
0.420000;1634;34698
0.430000;1954;42341
0.440000;2317;51509
0.450000;2789;63768
0.460000;3260;76161
0.470000;3754;89981
0.480000;4343;106544
0.490000;4963;124672
0.500000;5649;145167
0.500100;5658;145407
0.500200;5660;145523
0.500300;5665;145684
0.500400;5669;145874
0.500500;5678;146144
0.500600;5696;146613
0.500700;5704;146822
0.500800;5715;147137
0.500900;5726;147456
0.501000;5738;147785
0.501100;5750;148137
0.501200;5832;148783
0.501300;5835;148910
0.501400;5838;149021
0.501500;5847;149323
0.501600;5857;149600
0.501700;5863;149771
0.501800;5869;149960
0.501900;5881;150295
0.502000;5888;150535
0.502100;5896;150813
0.502200;5901;151031
0.502300;5903;151141
0.502400;5911;151371
0.502500;5918;151542
0.502600;5923;151729
0.502700;5932;151989
0.502800;5941;152251
0.502900;5935;152113
0.503000;5946;152402
0.503100;5955;152713
0.503200;5965;153013
0.503300;5967;153104
0.503400;5971;153253
0.503500;5973;153342
0.503600;5984;153622
0.503700;5992;153861
0.503800;6005;154252
0.503900;6014;154505
0.504000;6019;154663
0.504100;6026;154906
0.504200;6037;155198
0.504300;6043;155438
0.504400;6054;155755
0.504500;6060;155997
0.504600;6126;158259
0.504700;6132;158431
0.504800;6136;158558
0.504900;6142;158737
0.505000;6157;159182
0.505100;6160;159312
0.505200;6165;159473
0.505300;6170;159675
0.505400;6174;159856
0.505500;6182;160120
0.505600;6188;160308
0.505700;6195;160512
0.505800;6202;160741
0.505900;6209;161009
0.506000;6215;161203
0.506100;6223;161382
0.506200;6271;162755
0.506300;6279;162982
0.506400;6290;163304
0.506500;6299;163587
0.506600;6304;163775
0.506700;6308;163921
0.506800;6319;164278
0.506900;6330;164584
0.507000;6337;164777
0.507100;6345;165033
0.507200;6350;165210
0.507300;6356;165476
0.507400;6368;165778
0.507500;6377;166103
0.507600;6386;166394
0.507700;6392;166588
0.507800;6396;166721
0.507900;6391;166851
0.508000;6398;167052
0.508100;6410;167381
0.508200;6416;167580
0.508300;6419;167729
0.508400;6430;168060
0.508500;6436;168300
0.508600;6445;168594
0.508700;6455;168866
0.508800;6466;169181
0.508900;6472;169388
0.509000;6479;169615
0.509100;6491;169934
0.509200;6500;170226
0.509300;6514;170627
0.509400;6522;170879
0.509500;6525;171043
0.509600;6503;170304
0.509700;6512;170593
0.509800;6519;170875
0.509900;6524;171042
0.510000;6532;171288
0.510100;6544;171660
0.510200;6551;171907
0.510300;6559;172183
0.510400;6569;172495
0.510500;6577;172715
0.510600;6584;172927
0.510700;6590;173115
0.510800;6597;173313
0.510900;6604;173549
0.511000;6610;173757
0.511100;6621;174050
0.511200;6629;173612
0.511300;6637;173844
0.511400;6646;174080
0.511500;6656;174427
0.511600;6663;174701
0.511700;6670;174904
0.511800;6677;175110
0.511900;6683;175286
0.512000;6692;175624
0.512100;6696;175792
0.512200;6705;176089
0.512300;6716;176396
0.512400;6723;176572
0.512500;6732;176843
0.512600;6735;176993
0.512700;6743;177259
0.512800;6748;177403
0.512900;6722;177701
0.513000;6730;177949
0.513100;6741;178290
0.513200;6747;178516
0.513300;6756;178809
0.513400;6759;178953
0.513500;6766;179195
0.513600;6773;179416
