/* L 6 Z 100000 */
/* probabilidad; segundo momento */
0.530500;9130126
0.530600;9130986
0.530700;9130704
0.530800;9131739
0.530900;9133144
0.531000;9173804
0.531100;9174388
0.531200;9176720
0.531300;9176471
0.531400;9176904
0.531500;9177655
0.531600;9177911
0.531700;9179204
0.531800;9136876
0.531900;9138023
0.532000;9137911
0.532100;9137666
0.532200;9138694
0.532300;9137373
0.532400;9137592
0.532500;9101627
0.532600;9101078
0.532700;9102597
0.532800;9101131
0.532900;9102528
0.533000;9100883
0.533100;9100234
0.533200;9101204
0.533300;9135992
0.533400;9135917
0.533500;9137124
0.533600;9134594
0.533700;9135669
0.533800;9134534
0.533900;9135976
0.534000;9137058
0.534100;9128086
0.534200;9128074
0.534300;9128786
0.534400;9128674
0.534500;9128865
0.534600;9129083
0.534700;9127307
0.534800;9106888
0.534900;9107358
0.535000;9109145
0.535100;9107909
0.535200;9108572
0.535300;9108116
0.535400;9107805
0.535500;9107643
0.535600;9185763
0.535700;9185437
0.535800;9187537
0.535900;9189058
0.536000;9188724
0.536100;9189710
0.536200;9188072
0.536300;9188980
0.536400;9144834
0.536500;9144773
0.536600;9144327
0.536700;9145382
0.536800;9147026
0.536900;9146712
0.537000;9145740
0.537100;9144629
0.537200;9167860
0.537300;9168239
0.537400;9167505
0.537500;9167447
0.537600;9169215
0.537700;9168344
0.537800;9168469
0.537900;9183697
0.538000;9184638
0.538100;9185985
0.538200;9186408
0.538300;9187554
0.538400;9187501
0.538500;9189160
0.538600;9189297
0.538700;9155504
0.538800;9154503
0.538900;9153618
0.539000;9153223
0.539100;9152749
0.539200;9154259
0.539300;9156334
0.539400;9156419
0.539500;9151204
0.539600;9150697
0.539700;9149787
0.539800;9148928
0.539900;9148104
0.540000;9149486
0.540100;9149030
0.540200;9167266
0.540300;9167783
0.540400;9168678
0.540500;9169585
0.540600;9169431
0.540700;9168648
0.540800;9170591
0.540900;9169501
0.541000;9132499
0.541100;9132575
0.541200;9132077
0.541300;9131563
0.541400;9133995
0.541500;9134037
0.541600;9132275
0.541700;9134115
0.541800;9157194
0.541900;9158184
0.542000;9158623
0.542100;9159772
0.542200;9159884
0.542300;9159962
0.542400;9159768
0.542500;9163099
0.542600;9165149
0.542700;9165712
0.542800;9166235
0.542900;9167730
0.543000;9167346
0.543100;9167216
0.543200;9168411
0.543300;9192152
0.543400;9192000
0.543500;9191520
0.543600;9194222
0.543700;9191524
0.543800;9191497
0.543900;9191474
0.544000;9190551
0.544100;9174819
0.544200;9173921
0.544300;9174216
0.544400;9173200
0.544500;9172951
0.544600;9173161
0.544700;9173200
0.544800;9131516
0.544900;9131217
0.545000;9131409
0.545100;9131820
0.545200;9132255
0.545300;9132522
0.545400;9133317
0.545500;9132080
0.545600;9167563
0.545700;9167381
0.545800;9166804
0.545900;9167901
0.546000;9168032
0.546100;9168594
0.546200;9166349
0.546300;9165350
0.546400;9134593
0.546500;9134489
0.546600;9133987
0.546700;9134307
0.546800;9135995
0.546900;9134214
0.547000;9133859
0.547100;9134469
0.547200;9135236
0.547300;9135240
0.547400;9135379
0.547500;9133306
0.547600;9133972
0.547700;9134874
0.547800;9131819
0.547900;9234859
0.548000;9234703
0.548100;9234068
0.548200;9234831
0.548300;9234626
0.548400;9235481
0.548500;9234124
0.548600;9231843
0.548700;9154684
0.548800;9152097
0.548900;9151076
0.549000;9151793
0.549100;9150038
0.549200;9148125
0.549300;9148072
0.549400;9147588
0.549500;9132465
0.549600;9133762
0.549700;9134883
0.549800;9136282
0.549900;9136034
0.550000;9137942
0.550100;9136648
0.550200;9136213
0.550300;9170419
0.550400;9170639
0.550500;9169843
0.550600;9171747
0.550700;9172894
0.550800;9173293
0.550900;9174492
0.551000;9129914
0.551100;9127834
0.551200;9128248
0.551300;9127811
0.551400;9126623
0.551500;9125193
0.551600;9125823
0.551700;9124682
0.551800;9137239
0.551900;9137065
0.552000;9134400
0.552100;9132778
0.552200;9134115
0.552300;9131912
0.552400;9129335
0.552500;9130120
0.552600;9116304
0.552700;9115005
0.552800;9116135
0.552900;9112875
0.553000;9110522
0.553100;9110485
0.553200;9107454
0.553300;9161128
0.553400;9161071
0.553500;9160911
0.553600;9161870
0.553700;9162910
0.553800;9164150
0.553900;9163614
0.554000;9162354
0.554100;9124219
0.554200;9122136
0.554300;9121344
0.554400;9119379
0.554500;9118286
0.554600;9117158
0.554700;9116554
0.554800;9115925
0.554900;9086303
0.555000;9084355
0.555100;9084712
0.555200;9082088
0.555300;9077802
0.555400;9077330
0.555500;9080046
0.555600;9189025
0.555700;9187226
0.555800;9186994
0.555900;9189050
0.556000;9186838
0.556100;9186133
0.556200;9185907
0.556300;9187376
0.556400;9109856
0.556500;9106832
0.556600;9107394
0.556700;9107320
0.556800;9106792
0.556900;9106444
0.557000;9106918
0.557100;9102026
0.557200;9090670
0.557300;9087073
0.557400;9086118
0.557500;9085523
0.557600;9084433
0.557700;9084205
0.557800;9083866
0.557900;9111037
0.558000;9109673
0.558100;9108045
0.558200;9106371
0.558300;9104075
0.558400;9100843
0.558500;9100720
0.558600;9097531
0.558700;9083269
0.558800;9081444
0.558900;9081525
0.559000;9081274
0.559100;9081620
0.559200;9080398
0.559300;9078777
0.559400;9079461
0.559500;9154652
0.559600;9154089
0.559700;9153334
0.559800;9152153
0.559900;9151434
0.560000;9150860
0.560100;9151982
0.560200;9048951
0.560300;9048378
0.560400;9048943
0.560500;9048092
0.560600;9048955
0.560700;9049233
0.560800;9048863
0.560900;9047201
0.561000;9058763
0.561100;9058517
0.561200;9058355
0.561300;9057664
0.561400;9058738
0.561500;9058018
0.561600;9056518
0.561700;9058221
0.561800;9046397
0.561900;9044298
0.562000;9043679
0.562100;9041254
0.562200;9039977
0.562300;9039697
0.562400;9039717
0.562500;9051500
0.562600;9047894
0.562700;9046944
0.562800;9045599
0.562900;9043596
0.563000;9040385
0.563100;9038546
0.563200;9038298
0.563300;9042912
0.563400;9040783
0.563500;9039965
0.563600;9038831
0.563700;9036628
0.563800;9037392
0.563900;9036502
0.564000;9035018
0.564100;9011379
0.564200;9009343
0.564300;9007539
0.564400;9007850
0.564500;9009314
0.564600;9007648
0.564700;9005406
0.564800;8996396
0.564900;8995229
0.565000;8993723
0.565100;8992406
0.565200;8992552
0.565300;8991759
0.565400;8985904
0.565500;8985196
0.565600;9021515
0.565700;9021153
0.565800;9018945
0.565900;9016302
0.566000;9016051
0.566100;9013529
0.566200;9011444
0.566300;9010198
0.566400;9046869
0.566500;9046082
0.566600;9042555
0.566700;9039637
0.566800;9036475
0.566900;9036077
0.567000;9038148
0.567100;9019183
0.567200;9019637
0.567300;9017279
0.567400;9017296
0.567500;9018630
0.567600;9016437
0.567700;9014685
0.567800;9012151
0.567900;9028365
0.568000;9027096
0.568100;9024870
0.568200;9024029
0.568300;9023576
0.568400;9023631
0.568500;9020682
0.568600;9020616
0.568700;9008562
0.568800;9009934
0.568900;9009127
0.569000;9007474
0.569100;9007143
0.569200;9006031
0.569300;9005749
0.569400;8966375
0.569500;8966067
0.569600;8965340
0.569700;8965188
0.569800;8963566
0.569900;8961214
0.570000;8961521
0.570100;8957400
0.570200;8975879
0.570300;8975864
0.570400;8975362
0.570500;8972239
0.570600;8971930
0.570700;8970215
0.570800;8968308
0.570900;8966592
0.571000;9048956
0.571100;9045581
0.571200;9044172
0.571300;9042981
0.571400;9038442
0.571500;9038949
0.571600;9038039
0.571700;8965462
0.571800;8966745
0.571900;8967662
0.572000;8966310
0.572100;8964628
0.572200;8962430
