/* L 8 Z 100000 */
/* probabilidad; segundo momento */
0.010000;66520
0.020000;138086
0.030000;214387
0.040000;295876
0.050000;384365
0.060000;478692
0.070000;580198
0.080000;688777
0.090000;806110
0.100000;933426
0.110000;1068528
0.120000;1213826
0.130000;1370188
0.140000;1541386
0.150000;1726273
0.160000;1925954
0.170000;2138303
0.180000;2369418
0.190000;2617403
0.200000;2889392
0.210000;3174630
0.220000;3486394
0.230000;3823534
0.240000;4183532
0.250000;4569287
0.260000;4986938
0.270000;5437353
0.280000;5925274
0.290000;6458988
0.300000;7023871
0.310000;7623693
0.320000;8275279
0.330000;8983257
0.340000;9724151
0.350000;10477890
0.360000;11310702
0.370000;12187550
0.380000;13107339
0.390000;14062930
0.400000;15078907
0.410000;16117602
0.420000;17167915
0.430000;18230574
0.440000;19306851
0.450000;20427769
0.460000;21459315
0.470000;22479491
0.480000;23431518
0.490000;24333698
0.500000;25144535
0.500100;25151765
0.500200;25161190
0.500300;25167607
0.500400;25174446
0.500500;25167216
0.500600;25176390
0.500700;25184148
0.500800;25197436
0.500900;25201818
0.501000;25209034
0.501100;25222051
0.501200;25227627
0.501300;25234134
0.501400;25239391
0.501500;25340043
0.501600;25348982
0.501700;25355920
0.501800;25363334
0.501900;25360676
0.502000;25370433
0.502100;25376291
0.502200;25385275
0.502300;25396050
0.502400;25377224
0.502500;25388247
0.502600;25396279
0.502700;25402088
0.502800;25405104
0.502900;25371665
0.503000;25379429
0.503100;25384516
0.503200;25391540
0.503300;25395976
0.503400;25472541
0.503500;25479579
0.503600;25482857
0.503700;25489318
0.503800;25502084
0.503900;25451059
0.504000;25459178
0.504100;25465085
0.504200;25472293
0.504300;25476709
0.504400;25440723
0.504500;25444498
0.504600;25451974
0.504700;25464104
0.504800;25473877
0.504900;25517789
0.505000;25521543
0.505100;25526826
0.505200;25540299
0.505300;25550430
0.505400;25596887
0.505500;25605248
0.505600;25617558
0.505700;25624569
0.505800;25631268
0.505900;25665393
0.506000;25675277
0.506100;25684038
0.506200;25683667
0.506300;25690249
0.506400;25683422
0.506500;25692358
0.506600;25705377
0.506700;25711763
0.506800;25673526
0.506900;25681790
0.507000;25687722
0.507100;25692213
0.507200;25688389
0.507300;25763747
0.507400;25772785
0.507500;25781136
0.507600;25787239
0.507700;25794216
0.507800;25655923
0.507900;25664025
0.508000;25672237
0.508100;25675523
0.508200;25680831
0.508300;25775288
0.508400;25783310
0.508500;25787798
0.508600;25795440
0.508700;25804803
0.508800;25756967
0.508900;25765512
0.509000;25776687
0.509100;25786804
0.509200;25800404
0.509300;25858079
0.509400;25864943
0.509500;25872919
0.509600;25875677
0.509700;25883818
0.509800;25845218
0.509900;25850447
0.510000;25866421
0.510100;25873109
0.510200;25878729
0.510300;25913461
0.510400;25914741
0.510500;25923255
0.510600;25929894
0.510700;25938799
0.510800;25913477
0.510900;25922134
0.511000;25927059
0.511100;25936459
0.511200;25941909
0.511300;25793108
0.511400;25796376
0.511500;25802757
0.511600;25810448
0.511700;26054140
0.511800;26062958
0.511900;26066270
0.512000;26073557
0.512100;26082224
0.512200;26038999
0.512300;26048670
0.512400;26057142
0.512500;26066986
0.512600;26072117
0.512700;25974404
0.512800;25979460
0.512900;25986539
0.513000;25995800
0.513100;26001387
0.513200;26036165
0.513300;26039684
0.513400;26042938
0.513500;26047125
0.513600;26057214
0.513700;26190524
0.513800;26197904
0.513900;26201723
0.514000;26209917
0.514100;26208647
0.514200;26149899
0.514300;26155289
0.514400;26158447
0.514500;26164066
0.514600;26171284
0.514700;26065480
0.514800;26072904
0.514900;26078943
0.515000;26087306
0.515100;26082460
0.515200;26274564
0.515300;26274685
0.515400;26279926
0.515500;26285528
0.515600;26292192
0.515700;26189789
0.515800;26198030
0.515900;26208013
0.516000;26211890
0.516100;26215899
0.516200;26340965
0.516300;26344577
0.516400;26353536
0.516500;26357504
0.516600;26244602
0.516700;26248363
0.516800;26257795
0.516900;26260509
0.517000;26264920
0.517100;26226537
0.517200;26239171
0.517300;26240044
0.517400;26250878
0.517500;26259411
0.517600;26413539
0.517700;26421236
0.517800;26431206
0.517900;26433586
0.518000;26442079
0.518100;26207106
0.518200;26208065
0.518300;26210458
0.518400;26216112
0.518500;26223113
0.518600;26439700
0.518700;26441348
0.518800;26447508
0.518900;26450416
0.519000;26455807
0.519100;26484254
0.519200;26489808
0.519300;26493444
0.519400;26495977
0.519500;26508452
0.519600;26279495
0.519700;26284649
0.519800;26287353
0.519900;26295656
0.520000;26299910
0.520100;26507244
0.520200;26510066
0.520300;26518249
0.520400;26517127
0.520500;26521809
0.520600;26361710
0.520700;26365459
0.520800;26374888
0.520900;26375418
0.521000;26380266
0.521100;26436587
0.521200;26444444
0.521300;26450449
0.521400;26451100
0.521500;26485452
0.521600;26490802
0.521700;26494827
0.521800;26500919
0.521900;26506102
0.522000;26459226
0.522100;26468010
0.522200;26474744
0.522300;26479632
0.522400;26476903
0.522500;26634030
0.522600;26638316
0.522700;26640128
0.522800;26647861
0.522900;26650666
0.523000;26568230
0.523100;26576161
0.523200;26583462
0.523300;26585410
0.523400;26593118
0.523500;26706742
0.523600;26710022
0.523700;26720098
0.523800;26722151
0.523900;26725499
0.524000;26728884
0.524100;26738215
0.524200;26741864
0.524300;26746109
0.524400;26750881
0.524500;26608894
0.524600;26617477
0.524700;26620691
