/* L 32 Z 27000 */
/* probabilidad; segundo momento */
0.400000;117108130
0.400300;117606455
0.400600;118050822
0.400900;118659335
0.401200;118987065
0.401500;119438814
0.401800;120035795
0.402100;120473557
0.402400;120963245
0.402700;121397947
0.403000;121836104
0.403300;122297247
0.403600;122619769
0.403900;123098232
0.404200;123273224
0.404500;123733168
0.404800;124257096
0.405100;124731254
0.405400;125626874
0.405700;126113592
0.406000;126206919
0.406300;126435590
0.406600;126920464
0.406900;127832454
0.407200;128320118
0.407500;128803992
0.407800;129268810
0.408100;129773504
0.408400;130286832
0.408700;130736592
0.409000;131217309
0.409300;131543027
0.409600;132044468
0.409900;132710115
0.410200;133314634
0.410500;133821914
0.410800;134202875
0.411100;134726601
0.411400;135293369
0.411700;135824806
0.412000;136031333
0.412300;136544738
0.412600;137413657
0.412900;138005287
0.413200;138535207
0.413500;139555089
0.413800;140113220
0.414100;139542584
0.414400;140098536
0.414700;140951517
0.415000;141474429
0.415300;142267200
0.415600;142841469
0.415900;143429596
0.416200;144041091
0.416500;144603348
0.416800;145846154
0.417100;146401392
0.417400;146395274
0.417700;146973355
0.418000;146559552
0.418300;147155465
0.418600;147665454
0.418900;148235227
0.419200;149609339
0.419500;150628784
0.419800;151216496
0.420100;151343359
0.420400;151998625
0.420700;152657734
0.421000;153264714
0.421300;153104056
0.421600;153725799
0.421900;154420748
0.422200;155071367
0.422500;155660173
0.422800;156890297
0.423100;157496405
0.423400;157835264
0.423700;158443645
0.424000;159254005
0.424300;159901976
0.424600;160779825
0.424900;161387178
0.425200;162168760
0.425500;162834296
0.425800;163228186
0.426100;163930913
0.426400;164585405
0.426700;165331319
0.427000;166006900
0.427300;166345993
0.427600;167027376
0.427900;167032963
0.428200;167684776
0.428500;168977034
0.428800;170141869
0.429100;170876574
0.429400;171535024
0.429700;172217168
0.430000;172943973
0.430300;173636648
0.430600;173792726
0.430900;174486668
0.431200;175407727
0.431500;176156572
0.431800;177127763
0.432100;177396479
0.432400;178142511
0.432700;179093537
0.433000;179829671
0.433300;180822593
0.433600;181578604
0.433900;181829494
0.434200;182565498
0.434500;182957965
0.434800;183696130
0.435100;184939839
0.435400;185936031
0.435700;186694128
0.436000;187422009
0.436300;188196115
0.436600;188503379
0.436900;189298277
0.437200;190786598
0.437500;191560606
0.437800;192263469
0.438100;193174507
0.438400;193961488
0.438700;194068659
0.439000;194838806
0.439300;196896825
0.439600;197736455
0.439900;197904401
0.440200;198688533
0.440500;200194252
0.440800;200673660
0.441100;201545179
0.441400;201850283
0.441700;202691059
0.442000;204602098
0.442300;205525695
0.442600;204922960
0.442900;205829985
0.443200;207845910
0.443500;208071090
0.443800;208935392
0.444100;209754842
0.444400;210675683
0.444700;212418815
0.445000;213302436
0.445300;215039635
0.445600;215977780
0.445900;216400174
0.446200;216304194
0.446500;217254904
0.446800;218590437
0.447100;219538618
0.447400;219828400
0.447700;220789078
0.448000;222884104
0.448300;223898775
0.448600;223769010
0.448900;225073502
0.449200;226072898
0.449500;227837184
0.449800;228849191
0.450100;228656634
0.450400;229701008
0.450700;231646430
0.451000;232045310
0.451300;233023488
0.451600;234806238
0.451900;235792413
0.452200;236662203
0.452500;237754788
0.452800;238435855
0.453100;239527997
0.453400;241158438
0.453700;242194518
0.454000;243230799
0.454300;243675698
0.454600;244723895
0.454900;245137000
0.455200;246201268
0.455500;248910030
0.455800;249269894
0.456100;250355958
0.456400;250436801
0.456700;251538678
0.457000;254930876
0.457300;256093087
0.457600;256312467
0.457900;257757956
0.458200;258902728
0.458500;260222133
0.458800;261414545
0.459100;261655752
0.459400;262866147
0.459700;265163733
0.460000;266359412
0.460300;266591612
0.460600;268438818
0.460900;269722526
0.461200;271338652
0.461500;272588632
0.461800;274314201
0.462100;275595622
0.462400;275207773
0.462700;276509703
0.463000;277773533
0.463300;281188094
0.463600;282507624
0.463900;281546310
0.464200;282976773
0.464500;285207636
0.464800;286469238
0.465100;287717730
0.465400;289124404
0.465700;290519008
0.466000;291840061
0.466300;293188209
0.466600;293809552
0.466900;295094685
0.467200;296441337
0.467500;298100025
0.467800;299584871
0.468100;301164186
0.468400;302631322
0.468700;302894169
0.469000;305467568
0.469300;306889240
0.469600;308429636
0.469900;309873688
0.470200;312024385
0.470500;313465262
0.470800;314815117
0.471100;316569273
0.471400;318051571
0.471700;319817516
0.472000;321401314
0.472300;323672604
0.472600;325180137
0.472900;324712300
0.473200;326842194
0.473500;328308951
0.473800;329152222
0.474100;330761230
0.474400;333050138
0.474700;334606262
0.475000;336684355
0.475300;338912507
0.475600;340752786
0.475900;341382759
0.476200;343154069
0.476500;343982919
0.476800;344889326
0.477100;346575157
0.477400;349026208
0.477700;350658157
0.478000;353111989
0.478300;354834636
0.478600;358413541
0.478900;357459000
0.479200;359229915
0.479500;360512090
0.479800;362278408
0.480100;365597740
0.480400;366592046
0.480700;368302181
0.481000;370394330
0.481300;372216281
0.481600;374452666
0.481900;376272322
0.482200;375930015
0.482500;381055437
0.482800;382891632
0.483100;385417605
0.483400;387205366
0.483700;386827229
0.484000;388756673
0.484300;390916113
0.484600;392593762
0.484900;394463328
0.485200;397670087
0.485500;399718742
0.485800;402123000
0.486100;401516501
0.486400;403464793
