/* L 128 Z 100000 */
/* probabilidad; segundo momento */
0.010000;17052109
0.020000;35540997
0.030000;55552740
0.040000;77291532
0.050000;100847511
0.060000;126447572
0.070000;154285020
0.080000;184485362
0.090000;217279599
0.100000;253041102
0.110000;291935423
0.120000;334366362
0.130000;380517612
0.140000;430867697
0.150000;485791443
0.160000;545869362
0.170000;611466603
0.180000;683233811
0.190000;761951630
0.200000;848253383
0.210000;943314482
0.220000;1047619227
0.230000;1162716765
0.240000;1289674197
0.250000;1430264682
0.260000;1585762738
0.270000;1759416475
0.280000;1952119342
0.290000;-2127315896
0.300000;-1885850369
0.310000;-1614769835
0.320000;-1308209052
0.330000;-960664199
0.340000;-568012561
0.350000;-120303639
0.360000;396013606
0.370000;988245181
0.380000;1678303451
0.390000;-1809501913
0.400000;-861591683
0.410000;257485720
0.420000;1597129560
0.430000;-1070355800
0.440000;887710504
0.450000;-959460209
0.460000;2095981570
0.470000;1667209000
0.480000;-1900846623
0.490000;423974612
0.500000;850524179
0.500100;985719874
0.500200;1063721528
0.500300;1137288590
0.500400;1287824209
0.500500;1414108650
0.500600;1522180186
0.500700;1623221966
0.500800;1668055677
0.500900;1770559688
0.501000;1950627730
0.501100;2024778753
0.501200;2117564864
0.501300;-2056944677
0.501400;-1948692921
0.501500;-1846698296
0.501600;-1706511533
0.501700;-1634276640
0.501800;-1490677407
0.501900;-1299290159
0.502000;-1239559308
0.502100;-1160888091
0.502200;-1016799938
0.502300;-946980426
0.502400;-767537657
0.502500;-637585160
0.502600;-582136350
0.502700;-471036417
0.502800;-302064066
0.502900;-187128038
0.503000;-120279330
0.503100;41374151
0.503200;74738238
0.503300;249081468
0.503400;349087449
0.503500;484441074
0.503600;579008714
0.503700;702439216
0.503800;786534237
0.503900;949107788
0.504000;1064191148
0.504100;1197886954
0.504200;1338101049
0.504300;1396109043
0.504400;1529403547
0.504500;1680886336
0.504600;1808238470
0.504700;1888277038
0.504800;2033045722
0.504900;-2110487536
0.505000;-1924480316
0.505100;-1867746955
0.505200;-1703055567
0.505300;-1680284148
0.505400;-1524495777
0.505500;-1354167236
0.505600;-1270130951
0.505700;-1131563215
0.505800;-1073147737
0.505900;-889428658
0.506000;-712005571
0.506100;-590151420
0.506200;-437818389
0.506300;-322181367
0.506400;-142311549
0.506500;-23972783
0.506600;89864678
0.506700;196595396
0.506800;328696196
0.506900;459802601
0.507000;570729671
0.507100;696128170
0.507200;788101653
0.507300;985934156
0.507400;1115542019
0.507500;1270787116
0.507600;1420397237
0.507700;1548230487
0.507800;1662846497
0.507900;1866803013
0.508000;1955392839
0.508100;2070049028
0.508200;-2117501750
0.508300;-1899803117
0.508400;-1837104248
0.508500;-1648284799
0.508600;-1446381350
0.508700;-1309622703
0.508800;-1287589868
0.508900;-1101843653
0.509000;-975833955
0.509100;-751349677
0.509200;-641927081
0.509300;-569883223
0.509400;-319396630
0.509500;-190039300
0.509600;-55577313
0.509700;116528046
0.509800;243824907
0.509900;379160022
0.510000;550114998
0.510100;751894528
0.510200;882520370
0.510300;965414543
0.510400;1087828357
0.510500;1260664016
0.510600;1382424401
0.510700;1612135425
0.510800;1726248404
0.510900;1918787174
0.511000;2031683001
0.511100;-2099488234
0.511200;-1828720953
0.511300;-1726531967
0.511400;-1648952061
0.511500;-1474776336
0.511600;-1310438988
0.511700;-1153199775
0.511800;-913563513
0.511900;-872667002
0.512000;-680540970
0.512100;-420837382
0.512200;-248113203
0.512300;-215604700
0.512400;63296132
0.512500;160271824
0.512600;391108645
0.512700;373318597
0.512800;645661531
0.512900;827609635
0.513000;1004954673
0.513100;1187042408
0.513200;1276043100
0.513300;1493456602
0.513400;1632474830
0.513500;1859540816
0.513600;1954420205
0.513700;-2124297492
0.513800;-1998145516
0.513900;-1792435552
0.514000;-1602468418
0.514100;-1491552904
0.514200;-1270218947
0.514300;-1092045853
0.514400;-916187852
0.514500;-742909042
0.514600;-617063121
0.514700;-390723916
0.514800;-282654293
0.514900;-26656813
0.515000;208353477
0.515100;369241384
0.515200;626389917
0.515300;640826056
0.515400;952220821
0.515500;1060602897
0.515600;1299723984
0.515700;1461265522
0.515800;1631321003
0.515900;1760782901
0.516000;1973391114
0.516100;-2095864578
0.516200;-1959027154
0.516300;-1782063407
0.516400;-1569087625
0.516500;-1452916747
0.516600;-1208986849
0.516700;-1005764620
0.516800;-818598351
0.516900;-603525331
0.517000;-471601504
0.517100;-291687851
0.517200;19511989
0.517300;191324199
0.517400;342693422
0.517500;595006576
0.517600;731236713
0.517700;960465813
0.517800;1109048192
0.517900;1398622688
0.518000;1616422292
0.518100;1767835392
0.518200;1963096856
0.518300;-2049156722
0.518400;-1887183250
0.518500;-1612966518
0.518600;-1484236140
0.518700;-1206984547
0.518800;-1114261732
0.518900;-825017823
0.519000;-599435422
0.519100;-423231655
0.519200;-174699046
0.519300;-37143247
0.519400;164852316
0.519500;404327985
0.519600;731622937
0.519700;897175449
0.519800;973302496
0.519900;1331941037
0.520000;1365493664
0.520100;1781420447
0.520200;1980512737
0.520300;-1983050426
0.520400;-1912835818
0.520500;-1663937058
0.520600;-1443726474
0.520700;-1141837603
0.520800;-989291049
0.520900;-745737271
0.521000;-536987067
0.521100;-269195780
0.521200;-95320631
0.521300;143055692
0.521400;424483723
0.521500;733424623
0.521600;950295389
0.521700;1054187776
0.521800;1341133282
0.521900;1530375913
0.522000;1866468508
0.522100;2064789828
0.522200;-1914618791
0.522300;-1802566443
0.522400;-1396000224
0.522500;-1257294092
0.522600;-1137346343
0.522700;-811084991
0.522800;-584741396
0.522900;-328740324
0.523000;61837070
0.523100;178875293
0.523200;419407288
0.523300;657605072
0.523400;998161236
0.523500;1097780070
0.523600;1507969861
0.523700;1684520697
0.523800;1977904514
0.523900;-2094202769
0.524000;-1932941315
0.524100;-1511794625
0.524200;-1282625169
0.524300;-1122492928
0.524400;-799250181
0.524500;-513690212
0.524600;-317786591
0.524700;138658098
0.524800;291461109
0.524900;521349477
0.525000;906804853
0.525100;1207521734
0.525200;1388743996
0.525300;1668696911
0.525400;2044925026
0.525500;-2089972188
0.525600;-1782677625
0.525700;-1554257682
0.525800;-1328809404
0.525900;-941362314
0.526000;-700459796
0.526100;-348383871
0.526200;-192340349
0.526300;271192782
0.526400;449178996
0.526500;718742276
0.526600;1008692608
0.526700;1312356438
0.526800;1651241217
0.526900;1787756051
0.527000;-2119831525
0.527100;-1813466927
0.527200;-1503798744
0.527300;-1332227697
0.527400;-934953001
0.527500;-510937377
0.527600;-231739445
0.527700;-2866966
0.527800;361117525
0.527900;646839990
0.528000;918836910
0.528100;1294002294
0.528200;1578608373
0.528300;1911153836
0.528400;1995421369
0.528500;-1763190918
0.528600;-1430642950
0.528700;-1146385654
0.528800;-729754057
0.528900;-532455644
0.529000;-147600019
0.529100;2828838
0.529200;276170981
0.529300;837359924
0.529400;1207992601
0.529500;1371398014
0.529600;1845475173
0.529700;2117775882
0.529800;-1935865875
0.529900;-1609347417
0.530000;-1170342441
0.530100;-598965360
0.530200;-482840692
0.530300;-21817113
0.530400;166483812
0.530500;628898330
0.530600;853451291
0.530700;1335369497
0.530800;1684812447
0.530900;1816192603
0.531000;-2022529504
0.531100;-1774352611
0.531200;-1342659350
0.531300;-903845284
0.531400;-573081466
0.531500;-361079648
0.531600;151168648
0.531700;582769104
0.531800;888902493
0.531900;1348399950
0.532000;1459625086
0.532100;2027441950
0.532200;-1912678816
0.532300;-1571205850
0.532400;-1275375900
0.532500;-599817338
0.532600;-367148994
0.532700;144064488
0.532800;209102314
0.532900;914661361
0.533000;1233158960
0.533100;1506356141
0.533200;1942341518
0.533300;-1982096251
0.533400;-1527346185
0.533500;-1152441310
0.533600;-712798356
0.533700;-458575852
0.533800;-193190428
0.533900;364436144
0.534000;1006353401
0.534100;1150821560
0.534200;1500704727
0.534300;2036546910
0.534400;-1675422137
0.534500;-1128089947
0.534600;-1061965352
0.534700;-608085678
0.534800;-89190619
0.534900;244301791
0.535000;732714611
0.535100;1151282540
0.535200;1687923017
0.535300;-2058016311
0.535400;-1886276832
0.535500;-1207811495
0.535600;-1065895613
0.535700;-454018108
0.535800;130025048
0.535900;418156667
0.536000;886974061
0.536100;1166904017
0.536200;1748128889
0.536300;2077084402
0.536400;-1656158190
0.536500;-1075293285
0.536600;-551888454
0.536700;-259806313
0.536800;231681054
0.536900;775571844
0.537000;898245846
0.537100;1598963208
0.537200;1991791441
0.537300;-1793750058
0.537400;-1311375538
0.537500;-592949317
0.537600;-374272819
0.537700;116656472
0.537800;825511991
0.537900;1294957803
0.538000;1697803535
0.538100;-1897002853
0.538200;-1741319768
0.538300;-1221818882
0.538400;-664466163
0.538500;-203981506
0.538600;386196214
0.538700;1187103360
0.538800;1172112664
0.538900;1768519081
0.539000;-1672229062
0.539100;-1571498700
0.539200;-647014234
0.539300;-473591879
0.539400;550059900
0.539500;1283655004
0.539600;1373490694
0.539700;1934190832
0.539800;-1803689421
0.539900;-1108506299
0.540000;-773819162
0.540100;190103971
0.540200;6907855
0.540300;684631151
0.540400;1604997848
0.540500;1874675116
0.540600;-1644043908
0.540700;-677097438
0.540800;-697310973
0.540900;378112466
0.541000;577622197
0.541100;1283891169
0.541200;1563229022
0.541300;-1684360930
0.541400;-1115048410
0.541500;-624057987
0.541600;-21132601
0.541700;555760748
0.541800;893839379
0.541900;2025155607
0.542000;-2101905474
0.542100;-1273283855
0.542200;-510977227
0.542300;-239848037
0.542400;199671156
0.542500;1268893991
0.542600;1490987951
0.542700;-1855872593
0.542800;-1189869400
0.542900;-1119497810
0.543000;91769612
0.543100;457191344
0.543200;1449709441
0.543300;1456522588
0.543400;-1702021239
0.543500;-921849061
0.543600;-294217230
0.543700;367582082
0.543800;1005070144
0.543900;1610259332
0.544000;2082647519
0.544100;-1139611271
0.544200;-828769082
0.544300;188527543
0.544400;1029028474
0.544500;1445861793
0.544600;1790382285
0.544700;-1818823925
0.544800;-714330921
0.544900;49801135
0.545000;475293645
0.545100;1185303032
0.545200;-1930265924
0.545300;-1796854663
0.545400;-861696409
0.545500;52455833
0.545600;1270995476
0.545700;1217055211
0.545800;1946976634
0.545900;-1259049798
0.546000;-695222826
0.546100;103435993
0.546200;755150735
0.546300;1517332855
0.546400;-1749540883
0.546500;-1432911380
0.546600;-521033537
0.546700;-230531719
0.546800;1267122909
0.546900;2107238159
0.547000;-1394299647
0.547100;-402535232
0.547200;375480629
