L 128,p 0.598800,Z 100000
/* Tamanio de cluster; Ocurrencias de cada tamaño de cluster */
1;26619268
2;5381412
3;3151294
4;2010504
5;1386188
6;1007173
7;768165
8;604952
9;490245
10;405782
11;341276
12;291158
13;251829
14;218455
15;192503
16;172024
17;153447
18;137820
19;124092
20;112895
21;103074
22;95126
23;86606
24;81510
25;74722
26;69266
27;64774
28;60192
29;56622
30;53253
31;49775
32;47141
33;44030
34;41714
35;39466
36;37442
37;35716
38;33899
39;32266
40;30982
41;29414
42;27911
43;26635
44;25493
45;24657
46;23811
47;22807
48;21494
49;21105
50;20207
51;19628
52;18879
53;18029
54;17676
55;16868
56;16418
57;15905
58;15302
59;14782
60;14216
61;13733
62;13307
63;12983
64;12651
65;12310
66;12007
67;11482
68;11349
69;10988
70;10831
71;10579
72;9970
73;9813
74;9672
75;9485
76;9232
77;9086
78;8834
79;8621
80;8296
81;8043
82;7848
83;7690
84;7603
85;7436
86;7196
87;7047
88;7115
89;6667
90;6742
91;6378
92;6421
93;6301
94;5961
95;5979
96;5887
97;5901
98;5690
99;5630
100;5338
101;5530
102;5384
103;5212
104;5060
105;5129
106;4956
107;4840
108;4824
109;4734
110;4646
111;4566
112;4477
113;4442
114;4238
115;4182
116;4051
117;3962
118;4020
119;4021
120;3817
121;3745
122;3811
123;3665
124;3676
125;3573
126;3501
127;3485
128;3422
129;3426
130;3277
131;3272
132;3295
133;3175
134;3168
135;3124
136;3053
137;3066
138;2960
139;2986
140;2983
141;2917
142;2815
143;2819
144;2789
145;2746
146;2701
147;2704
148;2599
149;2629
150;2595
151;2516
152;2496
153;2537
154;2502
155;2348
156;2347
157;2424
158;2369
159;2330
160;2260
161;2272
162;2228
163;2271
164;2287
165;2244
166;2052
167;2067
168;2087
169;2088
170;2085
171;2056
172;2011
173;1954
174;2038
175;1883
176;1924
177;1945
178;1936
179;1785
180;1844
181;1824
182;1808
183;1861
184;1756
185;1791
186;1698
187;1690
188;1665
189;1669
190;1697
191;1701
192;1735
193;1596
194;1564
195;1584
196;1598
197;1580
198;1634
199;1518
200;1497
201;1520
202;1564
203;1546
204;1439
205;1432
206;1475
207;1397
208;1431
209;1463
210;1413
211;1412
212;1379
213;1375
214;1346
215;1356
216;1292
217;1258
218;1312
219;1269
220;1258
221;1265
222;1220
223;1292
224;1218
225;1230
226;1191
227;1158
228;1180
229;1193
230;1172
231;1225
232;1148
233;1173
234;1121
235;1109
236;1132
237;1101
238;1099
239;1121
240;1029
241;1078
242;1022
243;1089
244;993
245;1023
246;1036
247;1029
248;1039
249;1081
250;1023
251;1003
252;1062
253;972
254;957
255;976
256;926
257;941
258;916
259;950
260;934
261;909
262;936
263;905
264;932
265;903
266;880
267;898
268;893
269;872
270;936
271;867
272;852
273;881
274;823
275;881
276;852
277;772
278;845
279;832
280;860
281;812
282;854
283;791
284;799
285;847
286;797
287;801
288;732
289;739
290;759
291;794
292;768
293;740
294;737
295;768
296;770
297;732
298;756
299;695
300;666
301;740
302;710
303;722
304;705
305;741
306;686
307;725
308;707
309;709
310;634
311;671
312;670
313;735
314;649
315;673
316;697
317;592
318;632
319;678
320;628
321;642
322;618
323;639
324;630
325;652
326;603
327;595
328;622
329;597
330;625
331;593
332;603
333;586
334;625
335;606
336;559
337;590
338;579
339;559
340;552
341;524
342;581
343;618
344;577
345;555
346;512
347;573
348;561
349;548
350;527
351;547
352;557
353;522
354;520
355;521
356;523
357;513
358;522
359;522
360;494
361;581
362;524
363;528
364;525
365;480
366;502
367;498
368;539
369;517
370;527
371;472
372;486
373;445
374;499
375;457
376;477
377;484
378;470
379;493
380;485
381;483
382;491
383;469
384;477
385;481
386;454
387;428
388;459
389;478
390;426
391;454
392;441
393;434
394;462
395;475
396;437
397;434
398;450
399;440
400;427
401;440
402;406
403;439
404;423
405;437
406;441
407;433
408;414
409;440
410;436
411;390
412;413
413;434
414;398
415;402
416;397
417;400
418;379
419;402
420;356
421;394
422;416
423;382
424;391
425;362
426;395
427;341
428;383
429;379
430;370
431;382
432;329
433;416
434;377
435;378
436;361
437;363
438;383
439;373
440;352
441;401
442;370
443;353
444;355
445;386
446;337
447;338
448;353
449;365
450;352
451;345
452;317
453;346
454;325
455;334
456;364
457;329
458;315
459;351
460;321
461;304
462;354
463;330
464;327
465;338
466;349
467;320
468;338
469;334
470;320
471;312
472;326
473;328
474;318
475;331
476;339
477;311
478;302
479;299
480;332
481;308
482;311
483;301
484;307
485;286
486;336
487;280
488;312
489;336
490;303
491;344
492;315
493;303
494;311
495;284
496;294
497;296
498;290
499;277
500;322
501;293
502;299
503;293
504;291
505;287
506;282
507;271
508;292
509;293
510;265
511;285
512;238
513;291
514;281
515;293
516;276
517;282
518;268
519;293
520;280
521;286
522;288
523;256
524;257
525;257
526;264
527;276
528;230
529;281
530;258
531;252
532;272
533;233
534;283
535;226
536;276
537;262
538;259
539;257
540;286
541;286
542;213
543;235
544;263
545;241
546;261
547;241
548;273
549;252
550;273
551;260
552;243
553;289
554;237
555;230
556;238
557;234
558;233
559;229
560;242
561;234
562;218
563;245
564;217
565;236
566;247
567;241
568;241
569;220
570;224
571;228
572;244
573;244
574;238
575;239
576;231
577;232
578;215
579;204
580;217
581;220
582;229
583;249
584;231
585;240
586;193
587;235
588;217
589;228
590;205
591;236
592;219
593;203
594;217
595;217
596;233
597;214
598;216
599;226
600;216
601;194
602;193
603;231
604;213
605;209
606;201
607;212
608;197
609;240
610;216
611;202
612;223
613;193
614;232
615;205
616;200
617;203
618;204
619;207
620;186
621;190
622;195
623;213
624;212
625;189
626;178
627;183
628;204
629;192
630;204
631;204
632;198
633;206
634;184
635;208
636;173
637;175
638;194
639;201
640;184
641;175
642;191
643;204
644;183
645;176
646;192
647;198
648;184
649;158
650;192
651;179
652;163
653;180
654;164
655;188
656;166
657;174
658;168
659;177
660;207
661;176
662;188
663;202
664;191
665;186
666;179
667;177
668;179
669;172
670;168
671;174
672;176
673;165
674;173
675;189
676;177
677;168
678;177
679;145
680;161
681;158
682;179
683;186
684;176
685;163
686;177
687;166
688;184
689;192
690;150
691;173
692;162
693;177
694;158
695;139
696;187
697;175
698;163
699;170
700;156
701;177
702;163
703;180
704;148
705;155
706;152
707;160
708;151
709;144
710;148
711;179
712;165
713;157
714;175
715;156
716;156
717;180
718;160
719;138
720;159
721;149
722;137
723;138
724;170
725;144
726;150
727;146
728;156
729;165
730;167
731;161
732;142
733;155
734;113
735;167
736;129
737;162
738;165
739;156
740;129
741;132
742;149
743;136
744;145
745;152
746;154
747;161
748;149
749;137
750;162
751;147
752;144
753;130
754;115
755;167
756;118
757;143
758;109
759;131
760;148
761;125
762;162
763;130
764;125
765;125
766;143
767;134
768;143
769;156
770;143
771;144
772;145
773;144
774;137
775;141
776;120
777;135
778;151
779;145
780;148
