L 128,p 0.602100,Z 100000
/* Tamanio de cluster; Ocurrencias de cada tamaño de cluster */
1;25907809
2;5193060
3;3029225
4;1923216
5;1323078
6;959363
7;731601
8;573255
9;464276
10;381792
11;321465
12;273552
13;235729
14;206292
15;180670
16;161082
17;143545
18;129011
19;116963
20;105768
21;96036
22;88231
23;81169
24;74417
25;68956
26;63901
27;59386
28;55887
29;52015
30;48887
31;45736
32;43418
33;40632
34;38289
35;36591
36;34646
37;32580
38;30957
39;29459
40;28457
41;26847
42;25676
43;24710
44;23763
45;22624
46;21634
47;20671
48;19708
49;19262
50;18483
51;17962
52;17031
53;16451
54;15786
55;15320
56;14765
57;14177
58;13907
59;13465
60;13074
61;12531
62;12206
63;11798
64;11390
65;11077
66;10723
67;10272
68;10340
69;9820
70;9743
71;9643
72;9146
73;8951
74;8690
75;8492
76;8253
77;8012
78;7785
79;7688
80;7599
81;7280
82;7042
83;6975
84;6773
85;6802
86;6484
87;6407
88;6282
89;6044
90;6171
91;5896
92;5708
93;5686
94;5473
95;5394
96;5176
97;5180
98;5158
99;4984
100;4909
101;4657
102;4814
103;4730
104;4682
105;4406
106;4397
107;4410
108;4264
109;4208
110;4084
111;4039
112;3963
113;3958
114;3822
115;3671
116;3700
117;3511
118;3605
119;3618
120;3457
121;3219
122;3415
123;3343
124;3186
125;3189
126;3153
127;3162
128;2985
129;3136
130;2985
131;2983
132;2905
133;2899
134;2780
135;2823
136;2801
137;2716
138;2686
139;2598
140;2581
141;2513
142;2564
143;2562
144;2489
145;2398
146;2369
147;2348
148;2351
149;2385
150;2277
151;2275
152;2230
153;2168
154;2044
155;2014
156;2192
157;2080
158;2054
159;2088
160;1971
161;2034
162;1979
163;1982
164;1880
165;1962
166;1833
167;1854
168;1875
169;1856
170;1838
171;1804
172;1727
173;1676
174;1717
175;1723
176;1644
177;1698
178;1602
179;1586
180;1650
181;1572
182;1543
183;1555
184;1576
185;1530
186;1570
187;1479
188;1506
189;1480
190;1435
191;1517
192;1395
193;1427
194;1449
195;1403
196;1333
197;1356
198;1403
199;1296
200;1310
201;1334
202;1230
203;1295
204;1267
205;1271
206;1289
207;1247
208;1307
209;1242
210;1116
211;1221
212;1175
213;1154
214;1158
215;1142
216;1142
217;1122
218;1126
219;1119
220;1088
221;1077
222;1045
223;1104
224;1089
225;1029
226;1078
227;968
228;1031
229;1057
230;1003
231;1009
232;966
233;1051
234;1059
235;995
236;982
237;1033
238;978
239;959
240;881
241;912
242;890
243;941
244;906
245;850
246;909
247;887
248;863
249;858
250;870
251;869
252;858
253;803
254;905
255;830
256;859
257;804
258;809
259;772
260;803
261;799
262;824
263;817
264;787
265;788
266;817
267;748
268;736
269;804
270;693
271;758
272;754
273;693
274;721
275;743
276;728
277;706
278;718
279;749
280;674
281;693
282;714
283;692
284;693
285;732
286;681
287;673
288;691
289;652
290;645
291;648
292;631
293;646
294;641
295;668
296;608
297;646
298;642
299;608
300;644
301;571
302;617
303;652
304;627
305;629
306;599
307;585
308;575
309;580
310;580
311;613
312;564
313;586
314;565
315;579
316;532
317;539
318;541
319;563
320;569
321;524
322;567
323;556
324;495
325;539
326;528
327;523
328;522
329;530
330;533
331;512
332;508
333;523
334;540
335;494
336;511
337;497
338;474
339;494
340;528
341;483
342;509
343;514
344;477
345;527
346;488
347;473
348;492
349;485
350;513
351;448
352;482
353;498
354;461
355;457
356;415
357;436
358;424
359;453
360;461
361;434
362;440
363;416
364;410
365;413
366;423
367;404
368;417
369;420
370;435
371;454
372;408
373;466
374;414
375;392
376;416
377;432
378;385
379;389
380;388
381;419
382;413
383;422
384;416
385;381
386;378
387;399
388;386
389;388
390;421
391;384
392;348
393;386
394;421
395;385
396;364
397;376
398;351
399;375
400;354
401;353
402;379
403;366
404;342
405;358
406;348
407;376
408;350
409;314
410;345
411;330
412;346
413;358
414;357
415;330
416;350
417;321
418;354
419;313
420;341
421;349
422;316
423;315
424;333
425;332
426;332
427;365
428;337
429;329
430;334
431;306
432;354
433;315
434;350
435;313
436;305
437;311
438;292
439;303
440;308
441;314
442;327
443;293
444;314
445;301
446;303
447;292
448;285
449;292
450;294
451;298
452;286
453;324
454;277
455;306
456;257
457;290
458;304
459;298
460;270
461;284
462;289
463;268
464;267
465;280
466;285
467;259
468;273
469;250
470;285
471;282
472;272
473;246
474;283
475;265
476;282
477;261
478;304
479;259
480;269
481;256
482;281
483;285
484;245
485;215
486;259
487;244
488;261
489;224
490;271
491;212
492;270
493;253
494;233
495;263
496;242
497;268
498;267
499;277
500;254
501;252
502;198
503;220
504;225
505;237
506;243
507;269
508;232
509;232
510;252
511;264
512;225
513;270
514;235
